date,team1,indicator,team2,score,location,attendance
11/19/2023,Northwestern,@,North Carolina,1-2,,"3,200"
08/25/2023,Michigan,@,North Carolina,2-3,,"1,500"
11/17/2023,Virginia,@,North Carolina,0-2,,"1,500"
11/17/2023,Duke,vs.,Northwestern,1-2,"Chapel Hill, NC","1,500"
10/27/2023,Duke,@,North Carolina,1-2,,"1,356"
10/17/2023,Boston College,@,Northeastern,4-3,,"1,100"
10/01/2023,Penn St.,@,Maryland,2-4,,"1,052"
09/08/2023,Miami (OH),@,Maryland,1-3,,"1,050"
10/22/2023,Northwestern,@,Rutgers,2-1,,921
10/06/2023,Boston College,@,North Carolina,1-3,,864
11/10/2023,Old Dominion,@,Maryland,0-3,,857
11/10/2023,Saint Joseph's,vs.,Virginia,1-2,"College Park, MD",857
09/03/2023,Boston College,@,Maryland,0-1,,850
11/12/2023,Virginia,@,Maryland,4-0,,826
10/22/2023,Iowa,@,Penn St.,1-2,,812
09/01/2023,Penn St.,@,California,2-3,,750
10/22/2023,Indiana,@,Maryland,1-2,,748
10/27/2023,Michigan St.,@,Michigan,0-1,,747
09/22/2023,Iowa,@,Michigan,2-0,,701
10/20/2023,North Carolina,@,Virginia,2-3,,690
09/24/2023,App State,@,North Carolina,1-6,,650
09/08/2023,Kent St.,@,Penn St.,0-5,,640
09/01/2023,Boston College,vs.,Northwestern,0-1,"College Park, MD",633
08/27/2023,James Madison,@,Richmond,0-3,,626
11/10/2023,William & Mary,@,North Carolina,1-6,,626
11/10/2023,Harvard,vs.,Rutgers,2-1,"Chapel Hill, NC",626
10/15/2023,Delaware,@,Temple,0-2,,617
11/03/2023,Temple,@,Old Dominion,0-2,,617
11/12/2023,Harvard,@,North Carolina,2-4,,615
09/01/2023,Duke,@,Maryland,2-1,,577
09/29/2023,Stanford,@,California,1-5,,577
11/02/2023,Rutgers,@,Michigan,1-0,,577
10/06/2023,Wake Forest,@,Louisville,0-1,,572
09/04/2023,UC Davis,@,Ohio St.,0-5,,571
10/29/2023,Lafayette,@,Temple,0-1,,571
09/08/2023,Davidson,@,Michigan,0-7,,570
08/25/2023,Kent St.,@,Liberty,0-2,,561
10/15/2023,Penn St.,@,Michigan,1-2,,556
10/06/2023,Michigan St.,@,Maryland,0-3,,554
10/13/2023,North Carolina,@,Syracuse,4-1,,552
09/08/2023,Merrimack,@,Bryant,1-3,,550
09/24/2023,Princeton,@,Northwestern,0-4,,543
11/05/2023,Princeton,vs.,Harvard,1-2,"Cambridge, Mass.",534
10/20/2023,Northwestern,@,Penn St.,2-0,,531
08/25/2023,Penn St.,@,Virginia,1-2,,530
