ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,shatt,sog,fouls,rc,yc,gc,defensive_goals,defensive_ast,defensive_shatt,defensive_sog,defensive_fouls,defensive_rc,defensive_yc,defensive_gc
23,2019-08-30,American,New Hampshire,Home,,4,2.0,4.0,1.0,13.0,8.0,12.0,,,1.0,2.0,2.0,6.0,3.0,17.0,,,
23,2019-09-01,American,Richmond,Home,,2,3.0,2.0,1.0,14.0,7.0,11.0,,,2.0,3.0,2.0,8.0,5.0,15.0,,,3.0
23,2019-09-06,American,Delaware,Away,,0,4.0,,,4.0,4.0,,,,,4.0,3.0,9.0,4.0,,,1.0,1.0
23,2019-09-08,American,Old Dominion,Away,,0,,,,6.0,2.0,,,,1.0,,,14.0,5.0,,,,
23,2019-09-13,American,James Madison,Home,,2,1.0,2.0,1.0,9.0,7.0,,,2.0,2.0,1.0,,7.0,3.0,,,1.0,1.0
23,2019-09-15,American,Towson,Home,,7,0.0,7.0,4.0,28.0,21.0,,,,2.0,,,1.0,1.0,,,,1.0
23,2019-09-19,American,UC Davis,Home,,0,1.0,,,13.0,5.0,7.0,,,1.0,1.0,2.0,4.0,1.0,13.0,,,2.0
23,2019-09-28,American,Bucknell,Home,,3,1.0,3.0,1.0,11.0,8.0,14.0,,1.0,2.0,1.0,,6.0,2.0,9.0,,,2.0
23,2019-09-29,American,Georgetown,Home,,2,1.0,2.0,2.0,14.0,7.0,11.0,,,,1.0,1.0,5.0,2.0,14.0,,,
23,2019-10-05,American,Lehigh,Away,,4,1.0,4.0,4.0,25.0,16.0,,,,1.0,1.0,1.0,6.0,3.0,,,,
23,2019-10-11,American,Holy Cross,Home,,3,2.0,3.0,3.0,21.0,14.0,14.0,,,4.0,2.0,1.0,3.0,3.0,12.0,,,2.0
23,2019-10-13,American,VCU,Home,,4,1.0,4.0,1.0,11.0,8.0,16.0,,,,1.0,1.0,10.0,7.0,13.0,,,
23,2019-10-19,American,Boston U.,Away,,2,0.0,2.0,1.0,10.0,9.0,,,1.0,1.0,,,14.0,7.0,,,,3.0
23,2019-10-26,American,Colgate,Away,,7,1.0,7.0,6.0,21.0,12.0,22.0,,1.0,,1.0,2.0,2.0,2.0,20.0,,,
23,2019-10-29,American,Maryland,Home,,0,1.0,,,4.0,2.0,16.0,,,,1.0,1.0,8.0,4.0,23.0,,,1.0
23,2019-11-02,American,Lafayette,Home,,1,0.0,1.0,,11.0,4.0,19.0,,,,,,4.0,3.0,24.0,,,2.0
23,2019-11-08,American,Holy Cross,Home,,5,1.0,5.0,5.0,10.0,8.0,25.0,,,2.0,1.0,1.0,2.0,1.0,22.0,,,
23,2019-11-10,American,Lafayette,Home,,3,2.0,3.0,3.0,13.0,9.0,8.0,,,3.0,2.0,3.0,5.0,2.0,10.0,,1.0,2.0
23,2019-11-13,American,Fairfield,Away,,1,3.0,1.0,1.0,8.0,4.0,28.0,,,,3.0,3.0,7.0,6.0,24.0,,,3.0
27,2019-08-30,App State,Towson,Away,,3,0.0,3.0,2.0,12.0,11.0,,,,1.0,,,2.0,2.0,,,,1.0
27,2019-09-01,App State,Georgetown,Away,,1,0.0,1.0,1.0,11.0,6.0,,,,2.0,,,10.0,7.0,,,,1.0
27,2019-09-06,App State,Lafayette,Home,,3,2.0,3.0,2.0,13.0,7.0,,,,2.0,2.0,1.0,13.0,6.0,,,,
27,2019-09-08,App State,Davidson,Home,,3,0.0,3.0,3.0,9.0,7.0,,,1.0,1.0,,,9.0,5.0,,,,1.0
27,2019-09-13,App State,Saint Francis,Away,,1,0.0,1.0,1.0,24.0,10.0,24.0,,3.0,,,,3.0,2.0,22.0,,,1.0
27,2019-09-15,App State,Lock Haven,Away,,1,,,,10.0,5.0,,,,1.0,,,11.0,7.0,,,,2.0
27,2019-09-20,App State,Ohio,Home,,5,6.0,5.0,4.0,17.0,13.0,,,,,6.0,4.0,23.0,14.0,,,1.0,3.0
27,2019-09-22,App State,North Carolina,Home,,1,4.0,1.0,2.0,2.0,1.0,,,,,4.0,1.0,27.0,19.0,,,1.0,1.0
27,2019-09-27,App State,Miami (OH),Home,,0,2.0,,,5.0,4.0,,,,1.0,2.0,3.0,13.0,9.0,,,,
27,2019-09-29,App State,La Salle,Home,,1,0.0,1.0,1.0,16.0,9.0,,,1.0,,,,4.0,3.0,,,,1.0
27,2019-10-04,App State,Central Mich.,Away,,5,2.0,5.0,4.0,14.0,11.0,,,,,2.0,1.0,9.0,5.0,,,,
27,2019-10-05,App State,Michigan,Away,,0,1.0,,,3.0,,,,,1.0,1.0,,15.0,10.0,,,,2.0
27,2019-10-12,App State,Longwood,Away,,1,,1.0,2.0,13.0,7.0,24.0,,1.0,1.0,2.0,1.0,11.0,7.0,17.0,,,3.0
27,2019-10-20,App State,Saint Louis,Home,,2,1.0,2.0,2.0,11.0,3.0,,,,,1.0,1.0,6.0,5.0,,,,1.0
27,2019-10-25,App State,Kent St.,Home,,0,3.0,,,8.0,6.0,,,,,3.0,3.0,17.0,13.0,,,,
27,2019-10-27,App State,Wake Forest,Away,,0,5.0,,,4.0,4.0,,,,,5.0,3.0,17.0,11.0,,,,
27,2019-11-01,App State,Ball St.,Away,,0,1.0,,,12.0,9.0,,,,,1.0,1.0,10.0,9.0,,,,
27,2019-11-06,App State,Central Mich.,Home,,2,0.0,2.0,3.0,15.0,10.0,,,,1.0,,,6.0,3.0,,,,1.0
27,2019-11-07,App State,Ohio,Home,,5,,5.0,1.0,12.0,7.0,,,,2.0,4.0,3.0,26.0,12.0,,,,
27,2019-11-08,App State,Miami (OH),Home,,0,2.0,,,4.0,2.0,,,,2.0,2.0,1.0,14.0,8.0,,,1.0,2.0
47,2019-08-31,Ball St.,Rutgers,Away,,1,4.0,1.0,,3.0,3.0,,,,1.0,4.0,3.0,17.0,15.0,,,,2.0
47,2019-09-01,Ball St.,Davidson,Home,,1,0.0,1.0,1.0,8.0,8.0,,,2.0,1.0,,,5.0,3.0,,,,2.0
47,2019-09-05,Ball St.,UC Davis,Home,,1,2.0,1.0,,6.0,5.0,,,,2.0,2.0,1.0,6.0,4.0,,,,
47,2019-09-06,Ball St.,Saint Louis,Home,,3,0.0,3.0,5.0,10.0,5.0,,,,,,,4.0,3.0,,,,
47,2019-09-08,Ball St.,Indiana,Away,,1,2.0,1.0,2.0,15.0,6.0,,,1.0,1.0,2.0,1.0,9.0,5.0,,,,1.0
47,2019-09-15,Ball St.,UMass Lowell,Home,,1,2.0,1.0,1.0,3.0,2.0,,,,,2.0,3.0,21.0,17.0,,,,1.0
47,2019-09-16,Ball St.,Northwestern,Away,,0,3.0,,,,,,,,2.0,3.0,,16.0,12.0,,,,2.0
47,2019-09-20,Ball St.,Miami (OH),Away,,0,,,,1.0,,,,,,1.0,1.0,22.0,13.0,,,,
47,2019-09-22,Ball St.,Michigan St.,Away,,1,3.0,1.0,2.0,10.0,7.0,,,,,3.0,3.0,11.0,6.0,,,,2.0
47,2019-09-28,Ball St.,Central Mich.,Home,,2,0.0,2.0,1.0,11.0,6.0,,,,,,,7.0,4.0,,,,1.0
47,2019-10-04,Ball St.,Kent St.,Home,,0,1.0,,,8.0,6.0,,,,,1.0,1.0,16.0,10.0,,,,
47,2019-10-12,Ball St.,Stanford,Home,,0,5.0,,,4.0,3.0,,,,,5.0,1.0,17.0,11.0,,,2.0,
47,2019-10-13,Ball St.,Michigan,Home,,0,6.0,,,5.0,1.0,,,,,6.0,6.0,31.0,18.0,,,,
47,2019-10-18,Ball St.,Ohio,Away,,0,3.0,,,3.0,2.0,,,,1.0,3.0,2.0,19.0,11.0,,,,
47,2019-10-25,Ball St.,Longwood,Away,,2,,2.0,4.0,4.0,2.0,27.0,,,,1.0,1.0,6.0,3.0,34.0,,,1.0
47,2019-10-27,Ball St.,VCU,Away,,1,2.0,1.0,,4.0,4.0,38.0,,,2.0,2.0,2.0,21.0,16.0,37.0,,,1.0
47,2019-11-01,Ball St.,App State,Home,,1,0.0,1.0,1.0,10.0,9.0,,,,,,,12.0,9.0,,,,
47,2019-11-07,Ball St.,Longwood,Home,,0,3.0,,,7.0,3.0,,,1.0,2.0,3.0,2.0,12.0,6.0,,,,
67,2019-08-30,Boston College,Providence,Away,,2,1.0,2.0,3.0,10.0,7.0,,,,,1.0,,9.0,4.0,,,,1.0
67,2019-09-01,Boston College,Fairfield,Home,,2,,2.0,1.0,35.0,17.0,,,,,3.0,3.0,12.0,7.0,,,,
67,2019-09-06,Boston College,Maryland,Home,,1,3.0,1.0,2.0,8.0,4.0,,,,,3.0,3.0,14.0,10.0,,,,2.0
67,2019-09-08,Boston College,Northwestern,Away,,2,3.0,2.0,,17.0,9.0,,,,1.0,3.0,1.0,9.0,5.0,,,,
67,2019-09-13,Boston College,Dartmouth,Home,,5,2.0,5.0,3.0,33.0,26.0,,,,,2.0,3.0,4.0,3.0,,,,
67,2019-09-15,Boston College,Northeastern,Home,,6,2.0,6.0,3.0,22.0,16.0,,,,1.0,2.0,2.0,9.0,4.0,,,,
67,2019-09-20,Boston College,Wake Forest,Away,,2,0.0,2.0,2.0,10.0,5.0,,,,,,,11.0,6.0,,,1.0,1.0
67,2019-09-27,Boston College,Louisville,Home,,2,3.0,2.0,2.0,8.0,3.0,,,1.0,2.0,3.0,,10.0,5.0,,,,2.0
67,2019-09-29,Boston College,Saint Joseph's,Home,,4,5.0,4.0,1.0,20.0,12.0,,,,2.0,5.0,4.0,16.0,10.0,,,,1.0
67,2019-10-04,Boston College,Virginia,Away,,1,0.0,1.0,2.0,7.0,3.0,,,,,,,10.0,3.0,,,,
67,2019-10-06,Boston College,Quinnipiac,Home,,4,0.0,4.0,4.0,18.0,12.0,,,,,,,11.0,7.0,,,,1.0
67,2019-10-10,Boston College,Harvard,Home,,1,0.0,1.0,1.0,7.0,5.0,,,,,,,6.0,3.0,,,,2.0
67,2019-10-13,Boston College,Boston U.,Away,,5,0.0,5.0,3.0,11.0,10.0,,,,,,,8.0,4.0,,,,1.0
67,2019-10-18,Boston College,Syracuse,Home,,2,1.0,2.0,2.0,9.0,5.0,,,,2.0,1.0,1.0,6.0,2.0,,,,3.0
67,2019-10-20,Boston College,New Hampshire,Away,,2,0.0,2.0,1.0,14.0,7.0,,,1.0,,,,9.0,6.0,,,1.0,1.0
67,2019-10-25,Boston College,North Carolina,Away,,2,3.0,2.0,1.0,10.0,5.0,,,,1.0,3.0,1.0,13.0,7.0,,,,1.0
67,2019-11-01,Boston College,Duke,Home,,1,0.0,1.0,2.0,11.0,5.0,,,,2.0,,,5.0,3.0,,,,1.0
67,2019-11-07,Boston College,Wake Forest,Home,,2,0.0,2.0,2.0,10.0,6.0,,,,2.0,,,,,,,,1.0
67,2019-11-08,Boston College,Virginia,Home,,1,,1.0,,9.0,2.0,,,,2.0,,,11.0,7.0,,,,1.0
67,2019-11-10,Boston College,North Carolina,Home,,1,3.0,1.0,1.0,5.0,3.0,,,3.0,1.0,3.0,2.0,12.0,6.0,,,,1.0
67,2019-11-15,Boston College,Northwestern,Home,,2,1.0,2.0,2.0,14.0,7.0,,,,,1.0,,9.0,5.0,,,,1.0
67,2019-11-17,Boston College,Louisville,Away,,2,,1.0,1.0,9.0,3.0,,,,1.0,1.0,,20.0,9.0,,,,1.0
67,2019-11-22,Boston College,North Carolina,Home,,3,6.0,3.0,2.0,6.0,4.0,,,,1.0,6.0,7.0,12.0,8.0,,,,
68,2019-08-31,Boston U.,Ohio,Away,,4,1.0,4.0,3.0,19.0,13.0,,,1.0,1.0,1.0,1.0,4.0,3.0,,,,
68,2019-09-02,Boston U.,Ohio St.,Away,,2,3.0,2.0,1.0,7.0,3.0,,,,1.0,3.0,1.0,21.0,15.0,,,,2.0
68,2019-09-06,Boston U.,New Hampshire,Home,,2,1.0,2.0,3.0,10.0,6.0,,,,1.0,1.0,1.0,17.0,12.0,,,1.0,1.0
68,2019-09-08,Boston U.,Northeastern,Home,,5,4.0,5.0,4.0,15.0,9.0,,,,1.0,4.0,2.0,16.0,9.0,,,,1.0
68,2019-09-13,Boston U.,Maine,Away,,1,2.0,1.0,1.0,11.0,6.0,33.0,,,1.0,2.0,1.0,6.0,4.0,36.0,,,
68,2019-09-14,Boston U.,Columbia,Home,,3,,3.0,1.0,16.0,11.0,32.0,,,2.0,4.0,3.0,8.0,5.0,34.0,,,1.0
68,2019-09-21,Boston U.,Bucknell,Home,,0,1.0,,,13.0,5.0,,,,1.0,1.0,,9.0,6.0,,,,1.0
68,2019-09-29,Boston U.,UConn,Away,,0,4.0,,,12.0,9.0,,,1.0,1.0,4.0,1.0,20.0,10.0,,,,1.0
68,2019-10-05,Boston U.,Lafayette,Home,,2,3.0,2.0,3.0,9.0,6.0,,,,1.0,3.0,2.0,14.0,8.0,,,,
68,2019-10-06,Boston U.,Penn,Home,,0,1.0,,,7.0,2.0,,,,,1.0,1.0,7.0,3.0,,,,1.0
68,2019-10-11,Boston U.,Colgate,Away,,6,1.0,6.0,5.0,21.0,15.0,34.0,,1.0,,1.0,,3.0,2.0,23.0,,,
68,2019-10-13,Boston U.,Boston College,Home,,0,5.0,,,8.0,4.0,,,,1.0,5.0,3.0,11.0,10.0,,,,
68,2019-10-19,Boston U.,American,Home,,0,2.0,,,14.0,7.0,,,,3.0,2.0,1.0,10.0,9.0,,,1.0,1.0
68,2019-10-20,Boston U.,Princeton,Home,,1,3.0,1.0,,7.0,5.0,,,,2.0,3.0,3.0,24.0,17.0,,,,1.0
68,2019-10-26,Boston U.,Holy Cross,Away,,5,4.0,5.0,7.0,18.0,11.0,32.0,,1.0,1.0,4.0,3.0,18.0,9.0,24.0,,1.0,
68,2019-10-27,Boston U.,Massachusetts,Home,,2,0.0,2.0,1.0,11.0,7.0,,,,1.0,,,4.0,2.0,,,,1.0
68,2019-10-30,Boston U.,Harvard,Away,,1,4.0,1.0,,7.0,4.0,26.0,,,,4.0,3.0,18.0,11.0,25.0,,,1.0
68,2019-11-02,Boston U.,Lehigh,Away,,1,,1.0,,16.0,11.0,,,,2.0,2.0,1.0,19.0,10.0,,,,
80,2019-09-07,Brown,Bryant,Home,,3,0.0,3.0,2.0,17.0,9.0,,,,,,,6.0,3.0,,,,2.0
80,2019-09-08,Brown,Providence,Away,,0,3.0,,,9.0,6.0,,,,1.0,3.0,2.0,13.0,10.0,,,,1.0
80,2019-09-10,Brown,Stanford,Home,,0,6.0,,,17.0,7.0,,,,1.0,6.0,5.0,17.0,11.0,,,,2.0
80,2019-09-13,Brown,Vermont,Away,,2,4.0,2.0,1.0,13.0,9.0,,,1.0,2.0,4.0,3.0,14.0,8.0,,,,1.0
80,2019-09-15,Brown,New Hampshire,Away,,2,4.0,2.0,2.0,9.0,5.0,,,1.0,,4.0,2.0,16.0,11.0,,,,2.0
80,2019-09-21,Brown,UAlbany,Home,,0,6.0,,,10.0,4.0,,,,2.0,6.0,4.0,18.0,14.0,,,,2.0
80,2019-09-22,Brown,Hofstra,Home,,3,0.0,3.0,1.0,13.0,8.0,,,,3.0,,,7.0,5.0,,,,
80,2019-09-27,Brown,Columbia,Away,,2,4.0,2.0,3.0,13.0,7.0,,,,,4.0,2.0,13.0,9.0,,,,1.0
80,2019-10-05,Brown,Dartmouth,Home,,3,1.0,3.0,3.0,17.0,10.0,,,1.0,2.0,1.0,1.0,10.0,4.0,,,,1.0
80,2019-10-10,Brown,California,Home,,3,2.0,3.0,3.0,9.0,6.0,,,,2.0,2.0,1.0,12.0,7.0,,,1.0,1.0
80,2019-10-13,Brown,Harvard,Away,,1,9.0,1.0,1.0,7.0,5.0,17.0,,,,9.0,6.0,24.0,18.0,21.0,,,1.0
80,2019-10-16,Brown,Holy Cross,Home,,1,0.0,1.0,1.0,15.0,8.0,,,,,,,12.0,9.0,,,,1.0
80,2019-10-19,Brown,Princeton,Home,,0,6.0,,,7.0,3.0,,,,,6.0,4.0,24.0,18.0,,,,
80,2019-10-26,Brown,Cornell,Away,,0,4.0,,,9.0,4.0,,,,1.0,4.0,5.0,13.0,9.0,,,,1.0
80,2019-10-27,Brown,Quinnipiac,Away,,2,5.0,2.0,2.0,15.0,10.0,35.0,,,1.0,5.0,5.0,17.0,13.0,32.0,,,1.0
80,2019-11-02,Brown,Penn,Home,,2,3.0,2.0,2.0,9.0,7.0,,,,1.0,3.0,1.0,18.0,11.0,,,,
80,2019-11-09,Brown,Yale,Away,,1,4.0,1.0,1.0,17.0,6.0,,,,1.0,4.0,4.0,13.0,6.0,,,,
81,2019-08-30,Bryant,Lock Haven,Away,,0,1.0,,,3.0,1.0,,,,,1.0,,16.0,8.0,,,1.0,
81,2019-09-06,Bryant,Providence,Away,,0,2.0,,,4.0,3.0,,,,,2.0,2.0,14.0,7.0,,,,
81,2019-09-07,Bryant,Brown,Away,,0,3.0,,,6.0,3.0,,,,2.0,3.0,2.0,17.0,9.0,,,,
81,2019-09-13,Bryant,Temple,Away,,0,2.0,,,8.0,4.0,,,,1.0,2.0,2.0,16.0,9.0,,,,
81,2019-09-15,Bryant,Drexel,Away,,0,6.0,,,5.0,3.0,,,,1.0,6.0,8.0,25.0,16.0,,,,
81,2019-09-20,Bryant,Hofstra,Home,,2,,2.0,2.0,11.0,7.0,,,,1.0,2.0,3.0,9.0,5.0,,,,1.0
81,2019-09-22,Bryant,UAlbany,Home,,0,1.0,,,2.0,,,,,,1.0,,23.0,10.0,,,,1.0
81,2019-09-24,Bryant,Holy Cross,Away,,1,,1.0,,18.0,12.0,16.0,,,,2.0,1.0,21.0,8.0,15.0,,,
81,2019-09-27,Bryant,New Hampshire,Home,,0,4.0,,,5.0,3.0,,,,1.0,4.0,2.0,17.0,8.0,,,,
81,2019-09-29,Bryant,Lehigh,Home,,2,1.0,2.0,,19.0,9.0,,,,,1.0,1.0,21.0,8.0,,,,
81,2019-10-04,Bryant,Merrimack,Home,,1,,1.0,,22.0,11.0,,,,,2.0,2.0,6.0,5.0,,,,
81,2019-10-06,Bryant,Lafayette,Home,,0,6.0,,,6.0,2.0,,,,1.0,6.0,6.0,25.0,15.0,,,,1.0
81,2019-10-11,Bryant,Fairfield,Home,,1,2.0,1.0,,8.0,3.0,,,,,2.0,1.0,13.0,6.0,,,,1.0
81,2019-10-13,Bryant,Wagner,Home,,4,0.0,4.0,3.0,19.0,15.0,,,,,,,12.0,3.0,,,,
81,2019-10-18,Bryant,Sacred Heart,Away,,1,4.0,1.0,1.0,11.0,3.0,33.0,,1.0,1.0,4.0,5.0,15.0,10.0,25.0,,,1.0
81,2019-10-20,Bryant,Northeastern,Away,,1,3.0,1.0,,3.0,2.0,,,,,3.0,,29.0,18.0,,,,
81,2019-10-25,Bryant,Rider,Away,,0,2.0,,,1.0,1.0,,,,1.0,2.0,1.0,19.0,10.0,,,,2.0
81,2019-10-27,Bryant,LIU,Home,,0,1.0,,,10.0,7.0,,,,,1.0,,11.0,5.0,,,,2.0
81,2019-11-03,Bryant,Colgate,Home,,0,1.0,,,12.0,7.0,,,,,1.0,,20.0,10.0,,,,1.0
83,2019-08-30,Bucknell,James Madison,Home,,2,3.0,2.0,2.0,8.0,6.0,,,,,3.0,2.0,15.0,12.0,,,,2.0
83,2019-09-01,Bucknell,Lock Haven,Away,,1,0.0,1.0,1.0,11.0,5.0,,,,1.0,,,11.0,2.0,,,,
83,2019-09-07,Bucknell,VCU,Away,,2,1.0,2.0,1.0,12.0,5.0,41.0,,,1.0,1.0,1.0,14.0,9.0,48.0,,,2.0
83,2019-09-08,Bucknell,Richmond,Away,,2,,2.0,2.0,12.0,7.0,,,,3.0,3.0,3.0,15.0,9.0,,,,2.0
83,2019-09-15,Bucknell,Syracuse,Home,,1,3.0,1.0,1.0,6.0,1.0,,,,2.0,3.0,3.0,23.0,12.0,,,,1.0
83,2019-09-21,Bucknell,Boston U.,Away,,1,0.0,1.0,,9.0,6.0,,,,1.0,,,13.0,5.0,,,,1.0
83,2019-09-22,Bucknell,Sacred Heart,Away,,2,1.0,2.0,2.0,9.0,7.0,10.0,,1.0,1.0,1.0,,6.0,3.0,29.0,,,1.0
83,2019-09-28,Bucknell,American,Away,,1,3.0,1.0,,6.0,2.0,9.0,,,2.0,3.0,1.0,11.0,8.0,14.0,,1.0,2.0
83,2019-09-29,Bucknell,Towson,Away,,3,0.0,3.0,1.0,17.0,11.0,6.0,,,,,,4.0,3.0,4.0,,,1.0
