date,team1,indicator,team2,score,location,attendance,extra_periods
09/05/2025,Wake Forest,@,Davidson,2-1,,413,2
10/10/2025,Boston College,@,California,1-2,,0,2
09/12/2025,Ohio St.,@,Harvard,1-2,,254,2
11/06/2025,Rutgers,vs.,Michigan,1-2,"Bloomington, IN",0,2
10/17/2025,Bellarmine,@,Ball St.,1-2,,125,2
11/07/2025,New Hampshire,@,Vermont,1-0,,406,2
10/10/2025,Richmond,@,Davidson,2-1,,323,2
09/05/2025,Sacred Heart,vs.,Georgetown,3-2,"Towson, MD",0,2
09/21/2025,La Salle,@,Queens (NC),2-1,,67,2
09/05/2025,Delaware,@,Penn St.,2-3,,440,2
11/02/2025,Delaware,@,Penn,2-3,,205,2
11/06/2025,Syracuse,vs.,Virginia,2-3,"Louisville, KY",212,2
09/12/2025,Massachusetts,@,Boston College,2-1,,292,2
11/01/2025,Penn,@,Cornell,2-3,,290,2
09/21/2025,American,@,Providence,2-1,,214,2
10/17/2025,La Salle,@,Saint Louis,2-1,,122,2
10/12/2025,VCU,@,American,1-0,,213,2
11/06/2025,Saint Joseph's,vs.,VCU,3-2,"Richmond, VA",348,2
09/05/2025,Brown,@,Massachusetts,2-3,,314,2
08/30/2025,UConn,vs.,Saint Joseph's,1-2,"Durham, NH",121,2
10/03/2025,Duke,@,Virginia,0-1,,466,2
10/12/2025,Rider,@,Georgetown,4-3,,267,2
10/17/2025,Massachusetts,@,James Madison,2-1,,108,2
11/01/2025,Saint Louis,@,Queens (NC),2-3,,104,2
09/07/2025,Syracuse,@,Ohio St.,2-1,,762,2
