ncaa_id,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,goals,fouls,rc,yc,gc,player_ncaa_id,ast,shatt
23,American,2023,19,Tayla-Jade Weiss,Tayla-Jade Weiss,Weiss,Tayla-Jade,Jr,M,,,19.0,18.0,3.0,,,1.0,1.0,,7.0,27.0
23,American,2023,16,Rebecca Bonness,Rebecca Bonness,Bonness,Rebecca,Jr,F,,,16.0,0.0,1.0,,,,,,1.0,5.0
23,American,2023,13,Federica Turina Dellamaggiore,Federica Turina Dellamaggiore,Dellamaggiore,Federica,Jr,M,,,20.0,20.0,2.0,,,1.0,3.0,,1.0,61.0
23,American,2023,23,Delia Rabatin,Delia Rabatin,Rabatin,Delia,Jr,M,,,20.0,0.0,2.0,,,,,,,5.0
23,American,2023,2,Kaleigh Missimer,Kaleigh Missimer,Missimer,Kaleigh,Jr,M,,,19.0,6.0,1.0,,,,,,1.0,10.0
23,American,2023,14,Kendall Jung,Kendall Jung,Jung,Kendall,Sr,M,,,17.0,3.0,,,,,1.0,,,2.0
23,American,2023,25,Katelyn Bailey,Katelyn Bailey,Bailey,Katelyn,Jr,B,,,19.0,19.0,,,,,1.0,,,
23,American,2023,12,Imogen Hatton,Imogen Hatton,Hatton,Imogen,Sr,M,,,14.0,6.0,1.0,,,,2.0,,,12.0
23,American,2023,11,Agustina Roffo,Agustina Roffo,Roffo,Agustina,So,M,,,16.0,14.0,2.0,,,1.0,2.0,,,18.0
23,American,2023,5,Emily Horace,Emily Horace,Horace,Emily,Sr,B,,,13.0,11.0,,,,1.0,1.0,,,3.0
23,American,2023,6,Sarah Steinman,Sarah Steinman,Steinman,Sarah,Fr,B,,,19.0,8.0,2.0,,,,1.0,,1.0,5.0
23,American,2023,17,Emilia Winkler,Emilia Winkler,Winkler,Emilia,Fr,F,,,19.0,19.0,5.0,,,,,,4.0,20.0
23,American,2023,27,Sophie Willemse,Sophie Willemse,Willemse,Sophie,Fr,B,,,19.0,19.0,2.0,,,2.0,6.0,,2.0,29.0
23,American,2023,1,Jordan Reicher,Jordan Reicher,Reicher,Jordan,Fr,F,,,16.0,8.0,1.0,,,,1.0,,,6.0
23,American,2023,18,Megan Hoffman,Megan Hoffman,Hoffman,Megan,Sr,F,,,20.0,20.0,4.0,,,,1.0,,6.0,20.0
23,American,2023,7,Elle Ridge,Elle Ridge,Ridge,Elle,Fr,F,,,18.0,3.0,,,,1.0,,,,3.0
23,American,2023,26,Emma Guydish,Emma Guydish,Guydish,Emma,Fr,M,,,18.0,0.0,,,,,2.0,,1.0,1.0
23,American,2023,4,Charllene Boshoff,Charllene Boshoff,Boshoff,Charllene,Sr,B,,,15.0,15.0,8.0,,,1.0,3.0,,,34.0
23,American,2023,8,Alyssa Freeman,Alyssa Freeman,Freeman,Alyssa,Fr,M,,,18.0,7.0,2.0,,,,1.0,,,5.0
27,App State,2023,12,Florine Koopman,Florine Koopman,Koopman,Florine,Fr,M,,,18.0,16.0,2.0,,,,2.0,,5.0,15.0
27,App State,2023,21,Noa Ginjaume Matas,Noa Ginjaume Matas,Matas,Noa,Fr,M,,,16.0,4.0,2.0,,,1.0,2.0,,3.0,19.0
27,App State,2023,33,Lise Boekaar,Lise Boekaar,Boekaar,Lise,So,F,,,19.0,19.0,5.0,,,,3.0,,4.0,39.0
27,App State,2023,20,Samantha Connors,Samantha Connors,Connors,Samantha,So,M,,,17.0,0.0,,,,,,,1.0,4.0
27,App State,2023,26,Leah Hurwitz,Leah Hurwitz,Hurwitz,Leah,Sr,F,,,16.0,12.0,1.0,,,,,,1.0,3.0
27,App State,2023,18,Grace Ball,Grace Ball,Ball,Grace,Sr,M,,,19.0,19.0,,,,,,,3.0,8.0
27,App State,2023,14,Jillian Orcutt,Jillian Orcutt,Orcutt,Jillian,Jr,B,,,19.0,19.0,1.0,,,,4.0,,,6.0
27,App State,2023,11,Henriette Stegen,Henriette Stegen,Stegen,Henriette,So,F,,,17.0,0.0,3.0,,,1.0,1.0,,2.0,14.0
27,App State,2023,22,Hadley Kuzmicky,Hadley Kuzmicky,Kuzmicky,Hadley,So,F,,,19.0,10.0,6.0,,,,,,1.0,21.0
27,App State,2023,10,Sarah Perkins,Sarah Perkins,Perkins,Sarah,Jr,M,,,19.0,19.0,,,,,1.0,,6.0,4.0
27,App State,2023,1,Bridget Donovan,Bridget Donovan,Donovan,Bridget,So,F,,,19.0,19.0,5.0,,,,,,4.0,25.0
27,App State,2023,23,Sarah Callery,Sarah Callery,Callery,Sarah,So,B,,,14.0,0.0,,,,,,,,11.0
27,App State,2023,13,Charlotte Bosma,Charlotte Bosma,Bosma,Charlotte,Jr,F,,,17.0,15.0,8.0,,,,1.0,,4.0,47.0
27,App State,2023,24,Sophia Baxter,Sophia Baxter,Baxter,Sophia,Fr,M,,,19.0,19.0,4.0,,,1.0,2.0,,2.0,14.0
27,App State,2023,2,Sarah Farrell,Sarah Farrell,Farrell,Sarah,Sr,F,,,19.0,18.0,3.0,,,,,,2.0,18.0
27,App State,2023,15,Rachel Fleig,Rachel Fleig,Fleig,Rachel,Sr,F,,,18.0,1.0,3.0,,,1.0,,,1.0,13.0
27,App State,2023,16,Kassie Paul,Kassie Paul,Paul,Kassie,Fr,M,,,19.0,0.0,1.0,,,,1.0,,1.0,6.0
47,Ball St.,2023,24,Nadine LOEPS,Nadine LOEPS,LOEPS,Nadine,N/A,,,,14.0,0.0,,,,,1.0,,4.0,1.0
47,Ball St.,2023,14,Paloma Gomez Rengifo,Paloma Gomez Rengifo,Rengifo,Paloma,Sr,F,,,18.0,18.0,3.0,,,,1.0,,2.0,40.0
47,Ball St.,2023,19,Rachel Bohn,Rachel Bohn,Bohn,Rachel,Sr,F,,,18.0,18.0,3.0,,,,1.0,,1.0,6.0
47,Ball St.,2023,26,Christine DITIZIO,Christine DITIZIO,DITIZIO,Christine,Fr,,,,18.0,0.0,1.0,,,,5.0,,1.0,8.0
47,Ball St.,2023,3,Jenna WYCKOFF,Jenna WYCKOFF,WYCKOFF,Jenna,So,,,,17.0,0.0,,,,,,,,3.0
47,Ball St.,2023,20,Maya GUINN,Maya GUINN,GUINN,Maya,So,,,,18.0,8.0,1.0,,,,,,,1.0
47,Ball St.,2023,17,Michaela Graney,Michaela Graney,Graney,Michaela,Sr,B,,,18.0,18.0,7.0,,,1.0,1.0,,2.0,30.0
