rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
1,Northwestern,Big Ten,22-1,0.957,W11,8-0,1.000,W10,4-1,0.800,W2,10-0,1.000,W16,8-0,1.000,W10,0-0,0.000,
2,North Carolina,ACC,21-2,0.913,L1,7-1,0.875,W9,9-0,1.000,W21,8-1,0.889,W6,4-1,0.800,L1,0-0,0.000,W5
3,Harvard,Ivy League,19-2,0.905,L1,7-0,1.000,L2,8-1,0.889,W2,11-0,1.000,W14,0-1,0.000,L2,0-0,0.000,
4,Liberty,Big East,17-3,0.850,L1,7-0,1.000,W9,10-0,1.000,W14,7-2,0.778,W2,0-1,0.000,L2,0-0,0.000,W2
5,Virginia,ACC,16-3,0.842,L2,7-1,0.875,L1,7-2,0.778,L1,6-0,1.000,W6,3-1,0.750,L1,0-0,0.000,
6,Princeton,Ivy League,18-4,0.818,L1,6-1,0.857,W8,9-3,0.750,W6,7-0,1.000,W7,2-1,0.667,L1,0-0,0.000,
7,Massachusetts,MAC,16-4,0.800,L1,8-1,0.889,L1,8-2,0.800,W1,7-1,0.875,W3,1-1,0.500,L1,0-0,0.000,W6
8,Monmouth,CAA,13-4,0.765,L1,5-0,1.000,L1,9-2,0.818,L1,4-2,0.667,W1,0-0,0.000,W1,0-0,0.000,L3
9,Miami (OH),MAC,16-5,0.762,L1,8-1,0.889,W8,9-1,0.900,W4,6-1,0.857,W4,1-3,0.250,L1,0-0,0.000,W1
10,Wake Forest,ACC,15-5,0.750,L3,7-1,0.875,L2,10-1,0.909,L1,5-2,0.714,L1,0-2,0.000,L4,0-0,0.000,
11,Saint Francis,NEC,14-5,0.737,L2,8-1,0.889,L2,6-0,1.000,W7,8-4,0.667,L1,0-1,0.000,L4,0-0,0.000,L2
12,Cornell,Ivy League,11-4,0.733,W2,4-3,0.571,W2,8-2,0.800,W2,2-2,0.500,L1,1-0,1.000,W1,0-0,0.000,L1
13,Fairfield,NEC,16-6,0.727,L1,9-0,1.000,W14,9-1,0.900,W3,6-5,0.545,L1,1-0,1.000,W1,0-0,0.000,L1
14,VCU,Atlantic 10,13-5,0.722,L2,5-1,0.833,L2,6-4,0.600,L1,7-0,1.000,W9,0-1,0.000,L3,0-0,0.000,W1
15,Iowa,Big Ten,14-6,0.700,L2,5-3,0.625,L1,6-3,0.667,W3,6-1,0.857,W3,2-2,0.500,L2,0-0,0.000,W1
16,App State,MAC,14-6,0.700,L1,7-2,0.778,L1,5-3,0.625,W1,7-2,0.778,L1,2-1,0.667,L1,0-0,0.000,L2
17,Temple,Big East,12-6,0.667,W2,3-4,0.429,W1,5-4,0.556,W1,7-2,0.778,W1,0-0,0.000,L1,0-0,0.000,W1
18,Yale,Ivy League,12-6,0.667,L4,4-3,0.571,L2,6-2,0.750,L1,6-2,0.750,L1,0-2,0.000,L3,0-0,0.000,
19,American,Patriot,12-6,0.667,L1,6-0,1.000,L1,5-4,0.556,L1,7-0,1.000,W8,0-2,0.000,L3,0-0,0.000,
20,Syracuse,ACC,13-7,0.650,L1,3-5,0.375,L1,5-3,0.625,L1,5-3,0.625,L2,3-1,0.750,W1,0-0,0.000,
21,New Hampshire,America East,12-7,0.632,L1,4-1,0.800,W6,5-2,0.714,W5,7-5,0.583,L1,0-0,0.000,L1,0-0,0.000,
22,UAlbany,America East,12-7,0.632,L1,3-2,0.600,L1,7-3,0.700,W2,4-4,0.500,L1,1-0,1.000,W2,0-0,0.000,
23,Lafayette,Patriot,12-7,0.632,L1,5-1,0.833,L1,7-2,0.778,L1,4-4,0.500,W2,1-1,0.500,L1,0-0,0.000,W4
24,Brown,Ivy League,10-6,0.625,L1,4-3,0.571,L1,6-2,0.750,L1,4-4,0.500,L1,0-0,0.000,L2,0-0,0.000,
25,Drexel,CAA,13-8,0.619,L1,3-2,0.600,W3,7-2,0.778,W3,4-5,0.444,W2,2-1,0.667,L1,0-0,0.000,W2
26,Duke,ACC,13-8,0.619,L1,4-4,0.500,L2,5-3,0.625,W1,6-4,0.600,L2,2-1,0.667,W1,0-0,0.000,W1
27,James Madison,MAC,12-8,0.600,L1,6-3,0.667,L1,5-4,0.556,L1,6-3,0.667,W2,1-1,0.500,L1,0-0,0.000,
28,Richmond,Atlantic 10,12-8,0.600,L1,5-1,0.833,L1,7-5,0.583,L1,5-3,0.625,W1,0-0,0.000,L3,0-0,0.000,W3
29,Bucknell,Patriot,10-7,0.588,L1,4-2,0.667,L1,6-1,0.857,W5,4-5,0.444,W2,0-1,0.000,L2,0-0,0.000,
