URL,Institution,Conference,Goals,AST,ShAtt,Fouls,RC,YC,GC,GGP,GGS,Min,GA,SV,SHO,G Wins,G Loss,DSv,Corners,PS,PSA
https://stats.ncaa.org/team/23/16001,American,Patriot,38,27,204,72,,5,17,,,983:08:00,21,92,4,,,4,80,4,4
https://stats.ncaa.org/team/27/16001,App State,MAC,58,49,280,73,,6,26,,,1269:21:00,23,84,7,,,3,122,1,2
https://stats.ncaa.org/team/47/16001,Ball St.,MAC,25,24,166,,,4,20,,,1194:47:00,66,169,1,,,10,68,,1
https://stats.ncaa.org/team/52/16001,Bellarmine,MAC,29,21,166,37,,2,19,,,1167:13:00,58,115,1,,,11,80,1,1
https://stats.ncaa.org/team/67/16001,Boston College,ACC,40,23,277,15,,13,20,,,1134:46:00,45,77,2,,,2,110,2,2
https://stats.ncaa.org/team/68/16001,Boston U.,Patriot,33,35,244,74,,4,23,,,1152:23:00,37,116,2,,,4,119,2,2
https://stats.ncaa.org/team/80/16001,Brown,Ivy League,33,36,202,308,,5,15,,,1045:12:00,33,75,3,,,5,107,1,2
https://stats.ncaa.org/team/81/16001,Bryant,America East,30,22,190,398,,8,24,,,1156:13:00,61,134,,,,8,141,1,1
https://stats.ncaa.org/team/83/16001,Bucknell,Patriot,32,34,211,103,,2,29,,,1110:00:00,47,72,,,,6,108,,2
https://stats.ncaa.org/team/107/16001,California,America East,27,20,168,95,,2,8,,,929:50:00,48,97,2,,,9,87,,
https://stats.ncaa.org/team/129/16001,Central Mich.,MAC,26,20,149,,,3,3,,,1110:00:00,79,180,2,,,,58,,
https://stats.ncaa.org/team/153/16001,Colgate,Patriot,26,22,160,334,,3,17,,,1098:40:00,69,119,,,,11,86,2,2
https://stats.ncaa.org/team/158/16001,Columbia,Ivy League,25,22,160,309,,2,18,,,1027:41:00,47,129,1,,,1,69,2,2
https://stats.ncaa.org/team/167/16001,Cornell,Ivy League,25,26,139,268,,9,22,,,1026:53:00,25,81,4,,,10,70,,
https://stats.ncaa.org/team/172/16001,Dartmouth,Ivy League,27,24,166,126,,1,13,,,1031:11:00,53,114,,,,8,77,4,4
https://stats.ncaa.org/team/173/16001,Davidson,Atlantic 10,26,31,180,19,,3,13,,,1140:30:00,50,105,1,,,8,105,,1
https://stats.ncaa.org/team/180/16001,Delaware,CAA,54,62,316,26,,5,17,,,1321:08:00,60,111,2,,,2,125,2,3
https://stats.ncaa.org/team/191/16001,Drexel,CAA,44,34,252,294,,6,23,,,1223:22:00,40,98,4,,,13,148,2,2
https://stats.ncaa.org/team/193/16001,Duke,ACC,40,36,234,45,,6,22,,,1140:27:00,37,72,1,,,1,111,4,5
